acceptance_rate,algo,best_energy,bin_flatness,energy_autocorr_200,energy_autocorr_50,model,n_chains,n_iters,n_replicas,n_round_trips,round_trip_time,shared_weights,swap_rate,total_energy_evals,wall_time
0.1015605,samc,8.472778426948935e-05,0.7447698712348938,0.24835807085037231,0.5165156126022339,rosenbrock,8,500000,,801,623.5593008739077,False,,4000000,101.12448758305982
0.10078975,samc,8.83313623489812e-05,0.7456927299499512,0.10949383676052094,0.3841039538383484,rosenbrock,8,500000,,1207,414.1748135874068,False,,4000000,105.16822837502696
0.108517,samc,4.945277760270983e-05,-0.6053229570388794,0.996972918510437,0.9984531998634338,rosenbrock,8,500000,,0,inf,False,,4000000,110.31539887492545
0.09915225,samc,4.163414996583015e-05,0.7410460114479065,0.2609390616416931,0.6128209233283997,rosenbrock,8,500000,,0,inf,False,,4000000,102.47573295794427
0.08487125,samc,0.00010054049198515713,0.743316650390625,0.18173590302467346,0.45236828923225403,rosenbrock,8,500000,,1040,477.975,False,,4000000,104.00479304103646
0.112205,samc,3.3034382795449346e-05,0.7485454678535461,0.2853894829750061,0.6006262898445129,rosenbrock,8,500000,,641,780.00624024961,False,,4000000,107.46417799999472
0.10195275000000001,samc,1.3938185475126375e-05,0.7450791597366333,0.1374383270740509,0.417656272649765,rosenbrock,8,500000,,1167,428.34704370179946,False,,4000000,101.81921091699041
0.087942,samc,2.5957298930734396e-05,0.7471845149993896,0.1728089451789856,0.46519896388053894,rosenbrock,8,500000,,937,530.8356456776947,False,,4000000,98.583991624997
0.11312,samc,1.444319650545367e-06,0.7483826875686646,0.14072328805923462,0.38905957341194153,rosenbrock,8,500000,,1208,413.68046357615896,False,,4000000,107.11902679200284
0.10013624999999998,samc,3.185017703799531e-05,0.7301874160766602,0.14377059042453766,0.4081740081310272,rosenbrock,8,500000,,1049,476.37940896091516,False,,4000000,101.58432229200844
0.127576,mh,4.706727395387134e-06,,,,rosenbrock,1,500000,,,,,,500000,7.171529583050869
0.125822,mh,1.6656849766150117e-05,,,,rosenbrock,1,500000,,,,,,500000,7.139779124991037
0.127912,mh,6.302996098384028e-07,,,,rosenbrock,1,500000,,,,,,500000,7.3350903750397265
0.124936,mh,1.0447549811942736e-06,,,,rosenbrock,1,500000,,,,,,500000,7.141370958066545
0.125918,mh,1.8470418581273407e-06,,,,rosenbrock,1,500000,,,,,,500000,7.080362708889879
0.127166,mh,5.326137966221722e-07,,,,rosenbrock,1,500000,,,,,,500000,7.17209933407139
0.12488,mh,6.503989880002337e-06,,,,rosenbrock,1,500000,,,,,,500000,7.08684608398471
0.125572,mh,5.144889314578904e-07,,,,rosenbrock,1,500000,,,,,,500000,6.993926124996506
0.12698,mh,5.901823669773876e-07,,,,rosenbrock,1,500000,,,,,,500000,7.692147416993976
0.124838,mh,9.474369448980724e-07,,,,rosenbrock,1,500000,,,,,,500000,7.039612958091311
0.153638,pt,1.4526560789818177e-06,,,,rosenbrock,,500000,4,,,,0.80978,2000000,30.682979916920885
0.1566,pt,3.7453734336168054e-08,,,,rosenbrock,,500000,4,,,,0.8135866666666667,2000000,32.30708554096054
0.153172,pt,9.701738008516259e-07,,,,rosenbrock,,500000,4,,,,0.8163866666666667,2000000,31.26079345890321
0.157312,pt,3.203033884346951e-06,,,,rosenbrock,,500000,4,,,,0.8187533333333333,2000000,31.803106750012375
0.16101,pt,1.144474595093925e-07,,,,rosenbrock,,500000,4,,,,0.82736,2000000,31.0718670419883
0.15783,pt,3.9763217500876635e-06,,,,rosenbrock,,500000,4,,,,0.81754,2000000,32.71898145903833
0.155484,pt,8.759199090491165e-07,,,,rosenbrock,,500000,4,,,,0.8174933333333333,2000000,30.311800249968655
0.158596,pt,6.34436844393349e-07,,,,rosenbrock,,500000,4,,,,0.8204733333333334,2000000,30.59960170800332
0.158114,pt,1.8036771507468075e-06,,,,rosenbrock,,500000,4,,,,0.8213133333333333,2000000,30.863605582970195
0.157716,pt,3.505184622554225e-07,,,,rosenbrock,,500000,4,,,,0.81876,2000000,30.94647570804227
0.2461325,samc,0.26699844002723694,0.9886175394058228,0.8816229701042175,0.9122928977012634,10d,4,200000,,0,inf,True,,800000,23.477939167059958
0.26310125,samc,0.32772308588027954,0.9569043517112732,0.34312009811401367,0.518751323223114,10d,4,200000,,0,inf,True,,800000,25.155462458031252
0.23882125,samc,0.286258339881897,0.9024012088775635,0.8957501649856567,0.9235808849334717,10d,4,200000,,0,inf,True,,800000,24.750521625042893
0.26474125,samc,0.3877201974391937,0.9597958922386169,0.28388911485671997,0.4795777499675751,10d,4,200000,,0,inf,True,,800000,24.193723124917597
0.249035,samc,0.360526442527771,0.9835512042045593,0.6163660883903503,0.7200527787208557,10d,4,200000,,0,inf,True,,800000,23.58077804208733
0.25972875,samc,0.25243809819221497,0.9761130213737488,0.15048997104167938,0.35261303186416626,10d,4,200000,,0,inf,True,,800000,25.20126058300957
0.25683875,samc,0.24207445979118347,0.9350947141647339,0.2295745611190796,0.4248204529285431,10d,4,200000,,0,inf,True,,800000,25.424884792068042
0.26775625,samc,0.3066064715385437,0.9508836269378662,0.20210276544094086,0.4213593304157257,10d,4,200000,,0,inf,True,,800000,24.047298666089773
0.265405,samc,0.2906965911388397,0.9462735056877136,0.3299562335014343,0.512048065662384,10d,4,200000,,0,inf,True,,800000,24.091067083994858
0.19474625,samc,0.18814070522785187,0.9107606410980225,0.7225521206855774,0.797038733959198,10d,4,200000,,0,inf,True,,800000,23.88402395893354
0.44678,mh,0.3766267001628876,,,,10d,1,200000,,,,,,200000,3.557642832980491
0.4458,mh,0.21747401356697083,,,,10d,1,200000,,,,,,200000,3.5252360419835895
0.45067,mh,0.22032520174980164,,,,10d,1,200000,,,,,,200000,3.5789110409095883
0.44866,mh,0.14183513820171356,,,,10d,1,200000,,,,,,200000,3.8803306249901652
0.449335,mh,0.2942328155040741,,,,10d,1,200000,,,,,,200000,3.642874874989502
0.447575,mh,0.35973191261291504,,,,10d,1,200000,,,,,,200000,3.6013143330346793
0.44675,mh,0.2645067274570465,,,,10d,1,200000,,,,,,200000,3.4921399579616264
0.44777,mh,0.20408116281032562,,,,10d,1,200000,,,,,,200000,3.489089124952443
0.446235,mh,0.12613709270954132,,,,10d,1,200000,,,,,,200000,3.5873393749352545
0.44742,mh,0.29501378536224365,,,,10d,1,200000,,,,,,200000,3.445493958075531
0.192775,pt,0.5749760270118713,,,,10d,,200000,16,,,,0.9765833333333334,3200000,61.201425957959145
0.193655,pt,0.6013816595077515,,,,10d,,200000,16,,,,0.97579,3200000,59.38935800001491
0.192935,pt,0.21664896607398987,,,,10d,,200000,16,,,,0.9765066666666666,3200000,58.370933749945834
0.194225,pt,0.29062679409980774,,,,10d,,200000,16,,,,0.9765933333333333,3200000,59.551605083979666
0.193845,pt,0.5522963404655457,,,,10d,,200000,16,,,,0.9766633333333333,3200000,62.21220041695051
0.194825,pt,0.4914577901363373,,,,10d,,200000,16,,,,0.9767666666666667,3200000,57.917179292067885
0.19419,pt,0.1930447220802307,,,,10d,,200000,16,,,,0.97693,3200000,59.04377758305054
0.19468,pt,0.5647013187408447,,,,10d,,200000,16,,,,0.9762266666666667,3200000,59.752537792082876
0.19554,pt,0.31429001688957214,,,,10d,,200000,16,,,,0.9767566666666667,3200000,59.08641208300833
0.192715,pt,0.34911879897117615,,,,10d,,200000,16,,,,0.9761433333333334,3200000,59.34903799998574
0.033113875,samc,77.46479797363281,-0.0003529787063598633,0.9404654502868652,0.9825491905212402,rastrigin,16,500000,,0,inf,True,,8000000,205.0375544159906
0.034987,samc,82.97532653808594,0.3363208770751953,0.9556663036346436,0.9857084155082703,rastrigin,16,500000,,0,inf,True,,8000000,212.41608950006776
0.025282,samc,72.52210998535156,-0.2894400358200073,0.9939543008804321,0.996467113494873,rastrigin,16,500000,,0,inf,True,,8000000,223.32820200000424
0.029550625,samc,87.48320770263672,-0.07505905628204346,0.9762685298919678,0.9898992776870728,rastrigin,16,500000,,1,20558.0,True,,8000000,214.7512152499985
0.0382985,samc,87.53851318359375,0.3654041290283203,0.9631664752960205,0.9841097593307495,rastrigin,16,500000,,4,54978.75,True,,8000000,213.40407600009348
0.019320625,samc,80.06523132324219,-0.4953116178512573,0.9949764609336853,0.9979745149612427,rastrigin,16,500000,,0,inf,True,,8000000,211.38190641603433
0.0323585,samc,82.15426635742188,0.017894625663757324,0.9720090627670288,0.988846480846405,rastrigin,16,500000,,0,inf,True,,8000000,203.9947883329587
0.033889125,samc,85.3023910522461,0.2105831503868103,0.9727512001991272,0.9893350005149841,rastrigin,16,500000,,1,68433.0,True,,8000000,208.4480425840011
0.02904475,samc,85.44052124023438,-0.17744076251983643,0.9629124402999878,0.9844549894332886,rastrigin,16,500000,,2,39840.0,True,,8000000,213.58615995803848
0.035508375,samc,76.15788269042969,0.3253835439682007,0.9783418774604797,0.9899705052375793,rastrigin,16,500000,,2,38202.0,True,,8000000,206.43781287502497
4e-05,mh,108.35498809814453,,,,rastrigin,1,500000,,,,,,500000,7.086962833069265
3.2e-05,mh,109.91200256347656,,,,rastrigin,1,500000,,,,,,500000,6.8761630420340225
2.8e-05,mh,114.74613189697266,,,,rastrigin,1,500000,,,,,,500000,6.946499166893773
3.6e-05,mh,117.0732192993164,,,,rastrigin,1,500000,,,,,,500000,7.058716500061564
4.8e-05,mh,110.72145080566406,,,,rastrigin,1,500000,,,,,,500000,7.012267166981474
3e-05,mh,137.46408081054688,,,,rastrigin,1,500000,,,,,,500000,6.875442833988927
5.4e-05,mh,101.4092025756836,,,,rastrigin,1,500000,,,,,,500000,6.720766041893512
3.4e-05,mh,114.47716522216797,,,,rastrigin,1,500000,,,,,,500000,6.701475083013065
3.2e-05,mh,93.16218566894531,,,,rastrigin,1,500000,,,,,,500000,7.0174700419884175
2.4e-05,mh,104.9312744140625,,,,rastrigin,1,500000,,,,,,500000,6.6069559580646455
0.000968,pt,96.67889404296875,,,,rastrigin,,500000,16,,,,0.7943066666666667,8000000,114.67284441704396
0.00049,pt,89.04664611816406,,,,rastrigin,,500000,16,,,,0.7653333333333333,8000000,112.04097595799249
0.000562,pt,100.44781494140625,,,,rastrigin,,500000,16,,,,0.7604466666666667,8000000,113.01770404202398
0.000776,pt,107.3531723022461,,,,rastrigin,,500000,16,,,,0.7935426666666666,8000000,113.90024829201866
0.00092,pt,82.78627014160156,,,,rastrigin,,500000,16,,,,0.7959093333333334,8000000,124.95854754198808
0.000768,pt,94.4595947265625,,,,rastrigin,,500000,16,,,,0.7734213333333333,8000000,112.8155122079188
0.000978,pt,98.18376922607422,,,,rastrigin,,500000,16,,,,0.7916293333333333,8000000,114.61668241699226
0.000672,pt,86.85136413574219,,,,rastrigin,,500000,16,,,,0.7766093333333334,8000000,110.83152637502644
0.000664,pt,101.71548461914062,,,,rastrigin,,500000,16,,,,0.775508,8000000,114.84790995891672
0.00034,pt,93.73678588867188,,,,rastrigin,,500000,16,,,,0.75976,8000000,110.77445437503047
